Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
19,西安交通大学,西安滑稽坦克红太阳 (XHT Red Sun),6,557,+1(7),+2(182),-4,+2(102),+1(46),+1(129),-,-,+2(31),-,-,-
20,浙江工业大学,眼大鸟 (EyeBigBird),6,586,+1(4),+3(225),-,+1(79),+1(50),+4(118),-,-,+1(10),-2,-,-
21,东北大学,测试账号 (NEU_Test),6,626,+1(5),-6,-,+1(79),+1(35),+3(131),-,+1(290),+1(46),-,-,-
22,浙江大学,Helianthus (Helianthus),6,632,+1(5),+5(220),-2,+1(113),+1(38),+2(87),-,-,+2(49),-,-,-
23,广东工业大学,夜幕灯塔 (BEACON AT NIGHT),6,640,+1(9),+4(209),-,+1(114),+1(60),+2(106),-,-1,+1(62),-,-,-
24,武汉大学,我能摸摸你的奖杯吗 (CanITouchYourJiangBei?),6,643,+1(7),-7,-,+1(114),+1(89),+1(146),-,+1(257),+1(30),-,-,-
25,电子科技大学,UESTC_给大家拜个早年 (UESTC_'or 1=1#),6,667,+1(7),-5,+2(262),+1(85),+1(61),+1(201),-,-,+1(31),-,-,-
26,中国矿业大学,矿里有家 (my home is in mine),6,669,+1(7),+6(257),-,+1(77),+1(52),+2(114),-,-,+2(22),-,-,-
27,中国科学院大学,自由之翼 (Freedom),6,684,+2(7),+5(256),-,+1(83),+1(78),+1(136),-,-2,+1(24),-,-,-
28,浙江大学,ACetic_ACid (ACetic_Acid),6,685,+1(6),+3(227),-,+1(169),+1(65),+1(135),-,-,+1(43),-4,-,-
29,南方科技大学,Sustech_Oxford (Sustech_Oxford),6,688,+1(4),+1(225),-,+1(80),+2(113),+2(158),-,-,+2(48),-,-,-
30,北京大学,逆序欧拉回路 (EulerInversion),6,689,+1(6),-8,+8(254),+1(75),+1(30),+1(146),-,-,+2(18),-,-,-41
31,郑州大学,只是想要艾特你 (Just want to @ you ),6,704,+1(6),+4(299),-,+1(101),+1(59),+1(156),-,-,+1(23),-,-,-
32,清华大学,茶贵软咸鱼联盟 (Dear Soft Drinks),6,713,+1(6),-5,-3,+1(118),+1(57),+3(145),-,-,+3(64),-,+1(243),-
33,福州大学,红高粱 (RedSorghum),6,720,+1(17),-,-,+1(106),+2(86),+2(150),-,+1(247),+2(54),-,-,-
34,清华大学,11说的都队 (11 is truth),6,721,+1(5),-3,+3(212),+1(110),+2(87),+2(144),-,-,+2(63),-,-,-
35,北京航空航天大学,梦中做自己 (ForTheDream),6,725,+1(6),+5(247),-,+1(101),+2(51),+2(148),-,-,+2(32),-,-,-
36,华南理工大学,今天也要加油鸭 (GoAheadDuck),6,732,+1(5),-4,-,+1(55),+1(53),+6(234),-,+1(272),+1(13),-,-,-
37,大连理工大学软件学院,青歌行 (Qinggex),6,735,+1(7),+6(298),-,+1(88),+1(74),+1(129),-,-,+1(39),-,-,-
38,华南理工大学,出发吧！皮卡丘 (Let's go! Pikachu),6,763,+1(6),+5(291),-,+1(98),+1(44),+3(188),-,-,+1(16),-,-,-
39,浙江大学,EuropeSun (EuropeSun),6,804,+1(7),-,+3(275),+1(85),+1(47),+5(222),-,-,+2(28),-,-,-
40,北京理工大学,我们先的 (ming ming is us first ac),6,836,+1(7),+5(211),-1,+1(130),+1(136),+1(218),-,-,+1(54),-,-,-
41,中国科学技术大学,中科大八队 (USTC_8),6,869,+1(7),+4(244),-,+2(163),+1(58),+2(283),-,-,+1(14),-,-,-
42,浙江理工大学,打完这仗回校养老 (wxk up up),6,887,+1(6),+7(233),-,+1(131),+1(107),+4(215),-,-,+1(15),-,-,-
43,杭州电子科技大学,杭电二队 (HDU-Orange),6,907,+1(6),-,-,+1(90),+2(108),+1(179),-,-,+2(26),+9(298),-,-
44,电子科技大学,UESTC_私物语 (UESTC_Myall),6,944,+1(8),+5(272),-,+1(99),+3(146),+3(197),-,-,+1(62),-,-,-
45,兰州大学,咕咕咕 (GuGuGu),6,1047,+1(7),+3(212),-,+1(165),+2(196),+2(287),-,-,+2(80),-,-,-
46,西安电子科技大学,生鱼忧患死鱼安乐 (sudo rm -rf /),6,1103,+1(6),-3,-,+1(147),+2(132),+2(290),-,+6(292),+1(96),-,-,-1
47,东北师范大学,绯色月下 (Lunatic Moonlight),5,258,+1(4),-,-,+1(84),+1(42),+1(104),-,-3,+1(24),-,-,-
48,中国石油大学（华东）,终极之战 (The ultimate battle),5,261,+1(9),-8,-,+1(93),+1(54),+1(75),-,-,+1(30),-,-,-
49,东北大学,多喝热水 (NEU_oyuononndekudasai),5,269,+1(2),-1,-,+1(98),+1(68),+1(71),-,-,+1(30),-,-,-
50,山东大学,看着看着就不行了 (We Sleep),5,305,+1(4),-2,-,+2(88),+1(41),+1(134),-,-,+1(18),-,-,-
