Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
126,,北京理工大学,动态树,5,836,-,-,-,-,-,+5(281),+1(4),-,+1(195),+2(172),-,+1(84),-,50%,Bronze,齐轩宇,邱昌威,张家诚,N,N
127,79,华东交通大学,真的想不到队名了,5,842,-,-,-,-,-,+7(225),+1(6),-,+3(288),+1(82),-,+2(61),-,64%,Bronze,章瑜华,张文乾,涂传俊,N,N
128,,中国人民大学,三人行,5,845,-,-,-,-,-,+3(244),+1(12),-,+2(279),+1(126),-,+3(84),-,50%,Bronze,童奕涵,孙安江,蔡松洋,N,N
129,80,台州学院,三乌鲁鲁赌铜牌,5,853,-,-,-,-,-,+3(261),+1(5),-,+5(210),+1(198),-,+2(39),-,58%,Bronze,戴于皓,陈逸轩,韩松霖,N,N
130,,河南理工大学,呆头呆脑,5,870,-,-,-,-,-,+2(262),+1(10),-,+6(295),+1(128),-,+2(35),-,58%,Bronze,张科文,宋幸威,张立攀,N,N
131,81,东北大学,东北大学_安卓队伍,5,871,-,-,-,-,-,+4(239),+1(7),-,+1(168),+2(158),-,+5(139),-,61%,Bronze,王啸烽,刘格显,吴封晓,N,N
132,82,广东东软学院,我们的目标是铁牌,5,875,-,-2,-,-,-,+1(212),+1(15),-,+5(284),+2(162),-,+3(62),-,58%,Bronze,陈笔政,李寅之,康忠毅,N,N
133,83,西北农林科技大学,对的对的不对不队,5,876,-,-,-,-,-,+1(194),+1(8),-,+7(287),+1(167),-,+3(60),-,61%,Bronze,晏鹏昊,范中博,张益诚,N,N
134,84,香港科技大学（广州）,请输入文本,5,899,-1,-1,-1,-1,-1,+1(237),+1(14),-1,+8(283),+1(140),-1,+1(85),-1,58%,Bronze,梁君豪,刘秋悦,张思达,N,N
135,,西安交通大学,因为太怕罚时就全交到签到题了,5,907,-,-1,-,-,-,+2(152),+1(6),-,+11(299),+1(111),-,+2(99),-,70%,Bronze,杨健鑫,林轩,代昕冉,N,N
136,85,广西大学,远航者的幻想乡,5,911,-,-,-,-,-,+2(207),+1(6),-,+8(279),+1(175),-,+2(64),-,64%,Bronze,张健明,孙怿翔,陶康,N,N
137,86,同济大学,春田花花,5,913,-,-,-,-,-,+1(239),+1(4),-,+6(280),+2(126),-,+4(84),-2,64%,Bronze,王钧涛,朱泽凯,孙治弘,N,N
138,87,南京农业大学,没有人比我更懂AC,5,928,-,-,-,-,-,+3(224),+1(9),-,+4(260),+1(133),-,+6(102),-,66%,Bronze,张博轩,黄子琰,魏尧选,N,N
