Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
36,西安交通大学,起队名的时候不打一架是不存在的 (Justice or Faith ),7,709,+1(1),,,,,+1(36),,+1(214),+1(92),+1(49),,+1(30),+2(267)
37,香港科技大学,萌萌哒鹿鹿 (Lovely Luna ),7,718,+1(0),,,,+2(188),+1(11),-1,+2(245),+1(96),+2(80),,+1(38),
38,武汉大学,没睡醒 (Wake_Up ),7,721,+2(4),,,-3,+1(210),+1(12),-1,+1(166),+1(140),+1(59),,+1(110),-11
39,湖南科技大学,脉动 (pulsating ),7,739,+1(5),-1,-1,-1,-3,+1(21),,+1(239),+1(158),+1(100),-1,+1(49),+3(127)
40,国防科技大学,Denominator (ALPC_Denominator ),7,755,+1(0),,,,-5,+1(22),,+1(228),+1(155),+3(124),,+1(110),+1(76)
41,中山大学,SYSU_无牌男孩 (SYSU_NoBrandBoys ),7,756,+1(0),,,,+1(201),+1(11),,+7(214),+1(96),+1(65),,+1(49),-38
42,重庆大学,双手离开键盘 (GG ),7,785,+1(1),,,,+2(266),+1(15),,+4(188),+2(110),+2(53),,+1(32),-17
43,西南交通大学,皎月 (LightMoon ),7,792,+1(0),,,,+1(194),+1(13),,+4(251),+1(126),+3(54),,+2(34),-9
44,杭州师范大学,八倍镜消音S12K (8X && Silencer && S12K ),7,805,+1(0),,,,+3(271),+1(9),,+2(207),+1(102),+3(27),,+1(89),-4
45,南京理工大学,十项全能 (Decathletes ),7,823,+1(9),,,,+2(225),+1(6),,+5(198),+1(122),+1(88),,+1(75),-4
46,浙江大学宁波理工学院,晚上吃鸡 (Winner Winner ),7,834,+1(2),,,,-4,+2(14),,+2(237),+1(169),+2(117),,+1(88),+1(147)
47,南京大学,保持在线 (Keep Alive ),7,840,+1(0),,,,+3(274),+2(32),,+1(189),+2(148),+1(38),,+1(79),
48,广东工业大学,容我三思 (knihT_Twice ),7,856,+1(5),,,,-2,+1(16),,+1(248),+1(197),+3(137),,+1(65),+1(148)
49,南华大学,Foolfish@USC (Foolfish@USC ),7,859,+1(3),,,-2,,+1(20),,+3(294),+1(115),+3(81),,+1(73),+1(193)
