Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
45,Silver,浙江大学宁波理工学院,忒修斯之船,6,1002,+1(16),,,+3(269),,,+3(222),,+1(70),+1(47),-5,,+2(278)
46,Silver,武汉大学,桂园两年半,6,1055,+4(234),,,+1(61),,,+2(270),,+1(111),+1(81),-1,,+1(218)
47,Silver,南京理工大学,Free Loop,6,1146,+2(36),,,+10(305),,,+2(213),,+1(131),+1(106),,,+1(295)
48,Silver,南京大学,我永远喜欢zsc,5,368,+1(3),,,+1(182),-1,,+1(43),,+2(101),+1(19),-5,,-1
49,Silver,西南交通大学,宵闇花火,5,370,+2(17),,,+1(99),,,+2(104),-2,+1(51),+2(39),-2,,
49,Silver,北京理工大学,1e9+7,5,370,+1(21),,,-11,,,+1(122),,+1(67),+1(45),,,+1(115)
51,Silver,福州大学,萌新,5,479,+1(8),,,-5,,,+1(106),,+1(84),+1(33),+2(228),,-2
52,Silver,中国人民大学,热传导,5,489,+1(36),,-6,+1(118),,,+1(200),,+1(78),+1(57),-3,,
53,Silver,福建师范大学,中二少年,5,500,+1(17),,,+1(179),,,+3(135),,+1(115),+1(34),,,-4
54,Silver,复旦大学,西瓜王,5,528,+2(28),,,-1,,,+2(172),,+2(51),+1(32),-2,,+1(185)
55,Silver,西安电子科技大学,生鱼忧患死鱼安乐,5,544,+3(13),,,+2(62),,,+2(220),,+2(102),+1(47),-1,,
56,Silver,南方科技大学,南方科技大学_伦敦,5,553,+4(16),,,-6,,,+1(129),,+3(82),+1(43),,,+1(203)
57,Silver,南京大学,llIlIIlIll,5,556,+2(28),,,+2(278),,,+1(94),,+1(72),+1(44),,,-1
58,Silver,西安电子科技大学,时光飞逝,5,573,+2(26),,,-8,-10,,+1(172),,+1(68),+1(83),+3(204),,
59,Silver,香港大学,教練的髮際線,5,584,+1(12),,-1,,-1,,+1(90),,+1(57),+3(62),+4(263),,
60,Silver,大连理工大学,远见,5,597,+1(4),,,+1(134),-1,,+2(211),,+2(71),+3(97),,,-24
61,Silver,成都信息工程大学,人活着就是为了血小板,5,600,+1(17),,,+29(293),,,+1(152),,+1(77),+1(41),,,
62,Silver,中国科学技术大学,中科大十六队,5,602,+3(14),,,+1(90),-2,,+1(169),,+1(187),+3(62),-2,,
63,Silver,浙江大学,YasHa,5,613,+1(35),,,,,,+2(119),,+1(110),+1(50),,,+2(259)
64,Silver,西安交通大学,赛尔_米老鼠_红太阳,5,635,+3(43),,,-11,,,+1(154),,+3(89),+1(39),-4,,+1(230)
65,Silver,湖南师范大学,没个性,5,646,+3(30),,,+2(97),,,-4,,+1(122),+1(76),,,+1(261)
66,Silver,长安大学,米瑞特之阻碍,5,652,+3(10),,,+3(263),-5,,+2(175),,+1(64),+1(40),,,
67,Silver,华东理工大学,亮剑,5,653,+4(26),,,+1(259),,,+1(199),,+1(64),+1(45),,-2,-2
68,Silver,中国地质大学（北京）,欧勒哇速趴贝吉塔,5,660,+3(24),,,+1(111),,,+2(299),,+2(68),+1(78),,,
69,Silver,北京师范大学,腊鸡zmr,5,661,+3(13),,,+2(181),-2,,+1(93),,+1(133),+3(141),-3,,-1
70,Silver,苏州大学,为什么不问问派大星呢,5,668,+2(36),,,+1(214),,,+1(158),,+1(145),+1(95),,,
71,Silver,国防科技大学,听党指挥,5,676,+1(24),,,+1(187),,,+2(138),,+2(154),+2(113),,,
72,Silver,中南大学,繁樱之冬,5,696,+1(26),,,+2(234),,,+4(229),,+1(99),+1(48),,,
73,Silver,南京林业大学,雷吉雷夫,5,705,+1(15),,,+5(260),-7,,+1(81),,+4(172),+1(37),-7,,-1
74,Silver,杭州电子科技大学,HDU-OldJackaroo,5,707,+1(31),,,+1(206),,,+2(299),,+1(68),+1(83),,,
