Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
386,,中北大学,这次一定,3,495,+6(168),,,,+1(94),,,,,+2(113),-5,,
387,,浙江工商大学,哥斯拉面,3,496,+1(21),,,,+2(77),,,,,-9,+6(278),,
388,,湖北民族大学,1e9+7,3,506,+2(81),,,,+4(114),,,,,+3(191),,,
389,,西北师范大学,KunKun very gude,3,517,+3(73),,,,+6(175),,,,,+2(109),-3,,
390,,西北大学,平头哥,3,525,+3(48),-3,,,+5(213),,,,,+3(104),-4,,
391,,肇庆学院,LMH_fightttt,3,532,+2(73),,,,+1(144),,,,,+5(215),,,
392,,西南石油大学（成都校区）,三个臭皮匠,3,534,+3(62),,,,+4(139),,,,,+4(173),-1,,
393,,西南科技大学,这太二次猿了,3,536,+2(94),,,,+3(217),,,,,+1(165),,,
394,,黄冈师范学院,过来旅个游,3,538,+3(50),,,,+3(119),,,,,+5(209),-2,,
395,,山东师范大学,芜湖起飞,3,540,+2(83),,,,+4(141),,,,,+5(156),-2,,
396,,西安邮电大学,三个臭皮匠,3,545,+2(59),,,,+1(140),,,,,+3(286),-9,,
397,,山东师范大学,从零开始的AC生活,3,549,+4(87),,,,+2(144),,,,,+3(198),-6,,
398,,兰州大学,kachitorita,3,560,+1(56),-1,,,+2(27),,,,,+9(297),,,
399,,内蒙古科技大学,诺言,3,570,+1(99),,,-4,+3(159),,,,,+4(212),-5,,
399,,河南理工大学,三个猛男,3,570,+1(47),,,,+4(250),,,,,+2(193),,,
401,,河南科技大学,Triangle,3,593,+1(32),,,,+1(121),,,,,+9(280),-6,,
402,,厦门大学嘉庚学院,乌龙茶,3,597,+3(120),,,,+1(160),,,,,+4(217),-3,,
403,,绍兴文理学院元培学院,云中辉月芬芳香,3,611,+8(135),,,,+4(112),,,,,+1(164),-10,,
404,,石河子大学,快马加鞭队,3,615,+2(47),,,,+2(109),,,,,+8(279),-5,,
405,,内蒙古师范大学,Au Copper,3,625,+4(78),-2,,,+2(161),,,,,+3(266),,,
406,,江西师范大学,我的二叉树被淹了,3,626,+3(86),,,,+10(163),,,,,+3(117),-1,,
406,,合肥学院,亚城木梦叶,3,626,+2(32),,,,+2(115),,,,,+10(259),-1,,
408,,湖南理工学院,AC全靠嘴,3,631,+4(91),,,,+3(224),,,,,+4(156),-2,,
409,,齐鲁工业大学,321AC,3,635,+5(96),,,,+7(146),,,,,+2(173),-2,,
410,,信息工程大学,名字贼难起,3,639,+5(231),-1,,,+1(75),,-1,,,+4(193),-2,,
411,,西安邮电大学,正人君子们,3,681,+3(57),,,,+3(92),,,,,+9(292),-6,,
411,,南阳理工学院,AC小分队,3,681,+1(34),,,,+2(232),,,,,+6(295),,,
413,,昆明理工大学,码德充沛,3,707,+1(34),-2,,,+3(167),,,,,+10(286),,,
